"Name","Location","FunctionSignature","FunctionSize"
"FUN_00464210","00464210","undefined FUN_00464210(void * this\, uint param_1)","125"
"FUN_004644a0","004644a0","undefined FUN_004644a0(void * this\, uint param_1)","39"
"ACheatActivator","00465180","undefined ACheatActivator(ACheatActivator * this)","66"
"ProcessCheatCodeInput","004651d0","bool ProcessCheatCodeInput(ACheatActivator * this\, InputEvent * param_1\, AInputMap * param_2)","239"
"ProcessCheatCodeInput","004652c0","bool ProcessCheatCodeInput(ACheatActivator * this\, eSimJPCommandEnum param_1)","128"
"FillCheatMenu","00465340","void FillCheatMenu(AGUIMenuItem * param_1)","129"
"DoMenuCommand","004653d0","bool DoMenuCommand(ACheatActivator * this\, TLString * param_1)","166"
"TriggerCheatPopup","00465480","void TriggerCheatPopup(ACheatActivator * this\, Cheats param_1)","228"
"ActivateCheat","00465570","void ActivateCheat(ACheatActivator * this\, Cheats param_1)","1051"
"ResetActiveCheats","004659d0","void ResetActiveCheats(ACheatActivator * this)","25"
"IsMatchCheatCode","004659f0","bool IsMatchCheatCode(ACheatActivator * this\, eSimJPCommandEnum * param_1\, int param_2)","442"
"FUN_00465bd0","00465bd0","undefined * * FUN_00465bd0(void * this\, int param_1)","85"
"FUN_00465c30","00465c30","int FUN_00465c30(void * this\, int param_1)","105"
"FUN_00465ca0","00465ca0","undefined FUN_00465ca0(void * this\, uint param_1)","138"
"FUN_00465d30","00465d30","undefined FUN_00465d30(void * this\, uint param_1)","212"
"FUN_00465e70","00465e70","undefined FUN_00465e70(int * * param_1)","34"
"FUN_00465ea0","00465ea0","undefined FUN_00465ea0(int * * param_1)","34"
"OnCheatPopupResponse","00465ed0","bool OnCheatPopupResponse(ACheatActivator * param_1\, AMessagePopupState * param_2\, ResponseEvent * param_3)","25"
"ResetCheatCodeInput","00465ef0","void ResetCheatCodeInput(ACheatActivator * this)","9"
"~ACheatActivator","00465f00","void ~ACheatActivator(ACheatActivator * this)","38"
"DeinitialiseStatic","00465f30","void DeinitialiseStatic(void)","1"
"InitialiseStatic","00465f40","void InitialiseStatic(void)","1"
"CreateObjectInPlace","00465f50","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","00465f70","TObject * CreateObject(void)","34"
"GetClass","00465fa0","TClass * GetClass(ACheatActivator * this)","6"
"~ADummyTask","00465fb0","void ~ADummyTask(ADummyTask * this)","22"
"operator=","00465fd0","AApplication * operator=(AApplication * this\, AApplication * param_1)","63"
"~AApplication","00466010","void ~AApplication(AApplication * this)","7"
"AApplication","00466020","undefined AApplication(AApplication * this\, AApplication * param_1)","69"
"AApplication","00466070","undefined AApplication(AApplication * this)","22"
"ShowLoadTip","00466090","void ShowLoadTip(bool param_1)","12"
"GetFarClip","004660a0","float GetFarClip(void)","7"
"SetFarClip","004660b0","void SetFarClip(float param_1)","12"
"GetMoviePlayer","004660c0","AMoviePlayer * GetMoviePlayer(ARootTask * this)","7"
"IsDeserialising","004660d0","bool IsDeserialising(ARootTask * this)","8"
"SetCheatMode","004660e0","void SetCheatMode(ARootTask * this\, bool param_1)","13"
"IsCheatMode","004660f0","bool IsCheatMode(ARootTask * this)","8"
"GetFeatureInfo","00466100","AFeatureInfo * GetFeatureInfo(ARootTask * this)","7"
