"Name","Location","Function Signature","Function Size"
"PProperties","10001090","undefined PProperties(PProperties * this)","41"
"PProperties","100010c0","undefined PProperties(PProperties * this\, PProperties * param_1)","54"
"~PProperties","10001100","void ~PProperties(PProperties * this)","284"
"PutProperty","10001230","void PutProperty(PProperties * this\, TPCString * param_1\, TPCString * param_2\, PPropertyValue * param_3\, TPCString * param_4)","70"
"PutProperty","10001280","void PutProperty(PProperties * this\, PPropertyName * param_1\, PPropertyValue * param_2\, TPCString * param_3)","128"
"PutProperty","10001300","void PutProperty(PProperties * this\, PPropertyName * param_1\, PPropertyValue * param_2)","124"
"PutPropertyUnique","10001380","void PutPropertyUnique(PProperties * this\, TPCString * param_1\, TPCString * param_2\, PPropertyValue * param_3\, TPCString * param_4)","70"
"PutPropertyUnique","100013d0","void PutPropertyUnique(PProperties * this\, PPropertyName * param_1\, PPropertyValue * param_2\, TPCString * param_3)","128"
"PutPropertyUnique","10001450","void PutPropertyUnique(PProperties * this\, PPropertyName * param_1\, PPropertyValue * param_2)","249"
"GetProperty","10001560","PPropertyValue * GetProperty(PProperties * this\, PPropertyName * param_1)","139"
"GetProperty","10001610","PPropertyValue * GetProperty(PProperties * this\, TPCString * param_1\, int param_2)","148"
"GetRequiredProperty","100016b0","PPropertyValue * GetRequiredProperty(PProperties * this\, TPCString * param_1\, TClass * param_2)","188"
"GetRequiredProperty","10001770","PPropertyValue * GetRequiredProperty(PProperties * this\, TPCString * param_1\, TPCString * param_2\, TClass * param_3)","193"
"GetRequiredProperty","10001840","PPropertyValue * GetRequiredProperty(PProperties * this\, TPCString * param_1\, int param_2\, TClass * param_3)","159"
"GetOptionalProperty","100018e0","PPropertyValue * GetOptionalProperty(PProperties * this\, TPCString * param_1\, TClass * param_2)","133"
"GetOptionalProperty","10001970","PPropertyValue * GetOptionalProperty(PProperties * this\, TPCString * param_1\, TPCString * param_2\, TClass * param_3)","138"
"GetOptionalProperty","10001a00","PPropertyValue * GetOptionalProperty(PProperties * this\, TPCString * param_1\, int param_2\, TClass * param_3)","107"
"FindProperty","10001a70","PProperty * FindProperty(PProperties * this\, TPCString * param_1\, Iterator * param_2)","183"
"Sort","10001b50","void Sort(PProperties * this)","642"
"PProperty","10001e30","undefined PProperty(PProperty * this\, PPropertyName * param_1\, PPropertyValue * param_2)","54"
"PProperty","10001e70","undefined PProperty(PProperty * this\, PPropertyName * param_1\, PPropertyValue * param_2\, TPCString * param_3)","68"
"FUN_10001ec0","10001ec0","undefined FUN_10001ec0(void * this\, uint param_1)","123"
"FUN_10001f40","10001f40","undefined FUN_10001f40(void * this\, uint param_1)","253"
"FUN_10002100","10002100","undefined FUN_10002100(int * * param_1)","34"
"GetProperty","10002130","PPropertyValue * GetProperty(PProperties * this\, TPCString * param_1\, TPCString * param_2)","60"
"GetProperty","10002170","PPropertyValue * GetProperty(PProperties * this\, TPCString * param_1)","55"
"PutPropertyUnique","100021b0","void PutPropertyUnique(PProperties * this\, TPCString * param_1\, TPCString * param_2\, PPropertyValue * param_3)","63"
"PutPropertyUnique","100021f0","void PutPropertyUnique(PProperties * this\, TPCString * param_1\, PPropertyValue * param_2)","58"
"PutPropertyUnique","10002230","void PutPropertyUnique(PProperties * this\, TPCString * param_1\, PPropertyValue * param_2\, TPCString * param_3)","65"
"PutProperty","10002280","void PutProperty(PProperties * this\, TPCString * param_1\, TPCString * param_2\, PPropertyValue * param_3)","63"
"PutProperty","100022c0","void PutProperty(PProperties * this\, TPCString * param_1\, PPropertyValue * param_2)","58"
"PutProperty","10002300","void PutProperty(PProperties * this\, TPCString * param_1\, PPropertyValue * param_2\, TPCString * param_3)","65"
"DeinitialiseStatic","10002350","void DeinitialiseStatic(void)","1"
"InitialiseStatic","10002360","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10002370","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","10002390","TObject * CreateObject(void)","35"
"GetClass","100023c0","TClass * GetClass(PProperties * this)","6"
"FUN_100023d0","100023d0","int * FUN_100023d0(void * this\, int * param_1\, TPCString * param_2\, undefined * param_3)","567"
"FUN_10002640","10002640","undefined FUN_10002640(void * this\, int param_1\, int param_2)","575"
"operator=","100028a0","PProperty * operator=(PProperty * this\, PProperty * param_1)","106"
"~PProperty","10002910","void ~PProperty(PProperty * this)","65"
"PProperty","10002960","undefined PProperty(PProperty * this\, PProperty * param_1)","80"
"SetComment","100029b0","void SetComment(PProperty * this\, TPCString * param_1)","64"
"GetComment","100029f0","TPCString GetComment(PProperty * this)","30"
"GetLine","10002a10","int GetLine(PProperty * this)","4"
"SetLine","10002a20","void SetLine(PProperty * this\, int param_1)","10"
"SetValue","10002a30","void SetValue(PProperty * this\, PPropertyValue * param_1)","20"
"GetValue","10002a50","PPropertyValue * GetValue(PProperty * this)","6"
"GetName","10002a60","PPropertyName * GetName(PProperty * this)","6"
"GetFreeList","10002a70","TFreeList * GetFreeList(void)","6"
"operator_delete","10002a80","void operator_delete(void * param_1)","19"
"operator_new","10002aa0","void * operator_new(uint param_1\, void * param_2)","7"
"operator_new","10002ab0","void * operator_new(uint param_1)","19"
"operator_new","10002ad0","void * operator_new(uint param_1\, char * param_2\, int param_3)","19"
"GetPropertySet","10002af0","TQList<class_PProperties::PProperty> * GetPropertySet(PProperties * this)","6"
"GetPropertySet","10002b00","TQList<class_PProperties::PProperty> * GetPropertySet(PProperties * this)","6"
"IsEmpty","10002b10","bool IsEmpty(PProperties * this)","16"
"GetPropertyCount","10002b20","int GetPropertyCount(PProperties * this)","4"
"GetParentProperties","10002b30","PProperties * GetParentProperties(PProperties * this)","4"
"End","10002b40","Iterator End(PProperties * this)","12"
"Begin","10002b50","Iterator Begin(PProperties * this)","12"
"GetFreeList","10002b60","TFreeList * GetFreeList(void)","6"
"operator_delete","10002b70","void operator_delete(void * param_1)","19"
"operator_new","10002b90","void * operator_new(uint param_1\, void * param_2)","7"
"operator_new","10002ba0","void * operator_new(uint param_1)","19"
"operator_new","10002bc0","void * operator_new(uint param_1\, char * param_2\, int param_3)","19"
"~PPropertyValueArray","10002be0","void ~PPropertyValueArray(PPropertyValueArray * this)","21"
"Delete","10002c00","void Delete(PPropertyValueArray * this)","30"
"PPropertyValueArray","10002c20","undefined PPropertyValueArray(PPropertyValueArray * this\, PPropertyValueArray * param_1)","47"
"PPropertyValueArray","10002c50","undefined PPropertyValueArray(PPropertyValueArray * this\, int param_1)","129"
"PPropertyValueArray","10002ce0","undefined PPropertyValueArray(PPropertyValueArray * this)","19"
"~PPropertyName","10002d00","void ~PPropertyName(PPropertyName * this)","20"
"SetSubName","10002d20","void SetSubName(PPropertyName * this\, TPCString * param_1)","64"
"SetName","10002d60","void SetName(PPropertyName * this\, TPCString * param_1)","61"
"GetSubName","10002da0","TPCString * GetSubName(PPropertyName * this)","6"
"GetName","10002db0","TPCString * GetName(PPropertyName * this)","3"
"FUN_10002ed0","10002ed0","undefined FUN_10002ed0(void * this\, undefined4 * param_1)","181"
"PPropertyBlock","10003010","undefined PPropertyBlock(PPropertyBlock * this\, TPCString * param_1\, Priority param_2)","59"
"~PPropertyBlock","100030b0","void ~PPropertyBlock(PPropertyBlock * this)","51"
"DeinitialiseStatic","100030f0","void DeinitialiseStatic(void)","1"
"InitialiseStatic","10003100","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10003110","TObject * CreateObjectInPlace(void * param_1)","42"
"CreateObject","10003140","TObject * CreateObject(void)","40"
"GetClass","10003170","TClass * GetClass(PPropertyBlock * this)","6"
"SetName","10003180","void SetName(PPropertyBlock * this\, TPCString * param_1)","64"
"GetPriority","100031c0","Priority GetPriority(PPropertyBlock * this)","4"
"GetName","100031d0","TPCString * GetName(PPropertyBlock * this)","6"
"operator+","100031e0","undefined operator+(undefined param_1\, PPropertyName * param_2)","235"
"PPropertyName","100032d0","undefined PPropertyName(PPropertyName * this\, PPropertyName * param_1)","48"
"operator=","10003300","PPropertyName * operator=(PPropertyName * this\, PPropertyName * param_1)","39"
"operator==","10003330","bool operator==(PPropertyName * this\, PPropertyName * param_1)","74"
"operator!=","10003380","bool operator!=(PPropertyName * this\, PPropertyName * param_1)","61"
"operator<","100033c0","bool operator<(PPropertyName * this\, PPropertyName * param_1)","73"
"operator>","10003410","bool operator>(PPropertyName * this\, PPropertyName * param_1)","79"
"GetString","10003460","TPCString GetString(PPropertyName * this)","270"
"Split","10003570","void Split(PPropertyName * this\, TPCString * param_1)","322"
