"Name","Location","FunctionSignature","FunctionSize"
"FUN_10001000","10001000","HWND FUN_10001000(void)","201"
"TApplication","10001150","undefined TApplication(TApplication * this)","75"
"~TApplication","100011a0","void ~TApplication(TApplication * this)","53"
"Execute","100011e0","bool Execute(TApplication * this)","116"
"Create","10001260","bool Create(TApplication * this\, char * param_1\, int param_2\, char * * param_3)","148"
"ShowConsole","10001300","bool ShowConsole(TApplication * this\, bool param_1)","63"
"DisplayErrorMessageBox","10001340","void DisplayErrorMessageBox(TApplication * this\, TCString param_1)","49"
"ToggleConsole","10001380","bool ToggleConsole(TApplication * this)","33"
"OnDestroy","100013b0","bool OnDestroy(TApplication * this)","6"
"OnUpdate","100013c0","bool OnUpdate(TApplication * this\, float param_1)","20"
"OnCreate","100013e0","bool OnCreate(TApplication * this\, int param_1\, char * * param_2)","17"
"IsCreated","10001400","bool IsCreated(TApplication * this)","12"
"Destroy","10001410","void Destroy(TApplication * this)","10"
"operator=","10001420","TApplication * operator=(TApplication * this\, TApplication * param_1)","105"
"TApplication","10001490","undefined TApplication(TApplication * this\, TApplication * param_1)","84"
"GetKernel","100014f0","TKernelInterface * GetKernel(TApplication * this)","4"
"SetVerbose","10001500","void SetVerbose(TApplication * this\, bool param_1)","10"
"FUN_100015c0","100015c0","undefined4 FUN_100015c0(undefined4 param_1\, int param_2)","171"
"entry","1000166b","int entry(HMODULE param_1\, int param_2\, undefined4 param_3)","157"
"_initterm","1000170e","thunk undefined _initterm()","6"
"FUN_10001758","10001758","undefined4 FUN_10001758(HMODULE param_1\, int param_2)","32"
