"Name","Location","FunctionSignature","FunctionSize"
"FUN_10005380","10005380","undefined FUN_10005380(void * this\, uint param_1)","304"
"TGUIActionMap","10005550","undefined TGUIActionMap(TGUIActionMap * this)","64"
"Create","10005590","void Create(TGUIActionMap * this)","2520"
"AddActionMapping","10005f70","void AddActionMapping(TGUIActionMap * this\, int param_1\, uint param_2)","150"
"TranslateDoodadToAction","10006010","uint TranslateDoodadToAction(TGUIActionMap * this\, int param_1)","61"
"GetActionLabel","10006050","TLString GetActionLabel(TGUIActionMap * this\, uint param_1)","79"
"FUN_100060a0","100060a0","undefined FUN_100060a0(void * this\, uint param_1)","39"
"FUN_100060d0","100060d0","undefined FUN_100060d0(void * this\, uint param_1)","179"
"FUN_10006190","10006190","undefined FUN_10006190(void * this\, uint param_1)","179"
"~TGUIActionMap","100062b0","void ~TGUIActionMap(TGUIActionMap * this)","97"
"DeinitialiseStatic","10006320","void DeinitialiseStatic(void)","1"
"InitialiseStatic","10006330","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10006340","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","10006360","TObject * CreateObject(void)","37"
"GetClass","10006390","TClass * GetClass(TGUIActionMap * this)","6"
"operator=","100063a0","RuntimeError * operator=(RuntimeError * this\, RuntimeError * param_1)","41"
"~RuntimeError","100063d0","void ~RuntimeError(RuntimeError * this)","22"
"RuntimeError","100063f0","undefined RuntimeError(RuntimeError * this\, RuntimeError * param_1)","41"
"RuntimeError","10006420","undefined RuntimeError(RuntimeError * this\, TWString * param_1\, TWString * param_2)","42"
"GetActionMap","10006450","TGUIActionMap * GetActionMap(TGUIInterface * this)","9"
"SetDefaultScreen","10006460","void SetDefaultScreen(TGUIInterface * this\, TGUIScreen * param_1)","13"
"GetDefaultScreen","10006470","TGUIScreen * GetDefaultScreen(TGUIInterface * this)","7"
"GetKernelInterface","10006480","TKernelInterface * GetKernelInterface(TGUIInterface * this)","4"
"SetKernelInterface","10006490","void SetKernelInterface(TGUIInterface * this\, TKernelInterface * param_1)","10"
"GetLayoutInfo","100064a0","TGUILayoutInfo * GetLayoutInfo(TGUILayoutManager * this)","4"
