"Name","Location","FunctionSignature","FunctionSize"
"TNativeFileSystem","10006200","undefined TNativeFileSystem(TNativeFileSystem * this\, char * param_1)","109"
"~TNativeFileSystem","10006270","void ~TNativeFileSystem(TNativeFileSystem * this)","94"
"CreateFile","100062d0","TFile * CreateFile(TNativeFileSystem * this\, TCString * param_1\, uint param_2)","104"
"DestroyFile","10006340","void DestroyFile(TNativeFileSystem * this\, TFile * param_1)","33"
"MakeInternalPath","10006370","TCString MakeInternalPath(TNativeFileSystem * this\, TCString * param_1)","224"
"GetFirstFile","10006450","bool GetFirstFile(TNativeFileSystem * this\, TCString * param_1\, TCString * param_2\, uint param_3)","345"
"GetNextFile","100065b0","bool GetNextFile(TNativeFileSystem * this\, TCString * param_1\, uint param_2)","134"
"Read","10006640","int Read(TNativeFile * this\, void * param_1\, int param_2)","314"
"Write","10006780","int Write(TNativeFile * this\, void * param_1\, int param_2)","241"
"Seek","10006880","bool Seek(TNativeFile * this\, int param_1\, TSEEK param_2)","121"
"GetSize","10006900","int GetSize(TNativeFile * this)","46"
"GetDate","10006930","__uint64 GetDate(TNativeFile * this)","49"
"GetCChar","10006970","int GetCChar(TNativeFile * this)","90"
"GetWChar","100069d0","int GetWChar(TNativeFile * this)","104"
"VCPrintf","10006a40","int VCPrintf(TNativeFile * this\, char * param_1\, char * param_2)","84"
"VWPrintf","10006aa0","int VWPrintf(TNativeFile * this\, ushort * param_1\, char * param_2)","92"
"TNativeFile","10006b00","undefined TNativeFile(TNativeFile * this\, TNativeFileSystem * param_1)","62"
"Open","10006b40","bool Open(TNativeFile * this\, TCString * param_1\, uint param_2)","308"
"Close","10006c80","void Close(TNativeFile * this)","98"
"ReadUnbuffered","10006cf0","int ReadUnbuffered(TNativeFile * this\, void * param_1\, int param_2)","119"
"LoadBuffer","10006d70","bool LoadBuffer(TNativeFile * this\, int param_1)","165"
"FlushWriteBuffer","10006e20","int FlushWriteBuffer(TNativeFile * this)","115"
"~TNativeFile","10006ea0","void ~TNativeFile(TNativeFile * this)","16"
"PutWChar","10006eb0","int PutWChar(TNativeFile * this\, ushort param_1)","33"
"PutCChar","10006ee0","int PutCChar(TNativeFile * this\, char param_1)","33"
"Tell","10006f10","int Tell(TNativeFile * this)","4"
"MakeDirectory","10006f20","bool MakeDirectory(TNativeFileSystem * this\, TCString * param_1)","36"
"RemoveFile","10006f50","bool RemoveFile(TNativeFileSystem * this\, TCString * param_1)","34"
"operator=","10007000","TNativeFile * operator=(TNativeFile * this\, TNativeFile * param_1)","69"
"TNativeFile","10007050","undefined TNativeFile(TNativeFile * this\, TNativeFile * param_1)","81"
"GetFileSystem","100070b0","TNativeFileSystem * GetFileSystem(TNativeFile * this)","4"
"operator=","100070c0","TNativeFileSystem * operator=(TNativeFileSystem * this\, TNativeFileSystem * param_1)","71"
"TNativeFileSystem","10007110","undefined TNativeFileSystem(TNativeFileSystem * this\, TNativeFileSystem * param_1)","73"
"operator=","10007160","TFile * operator=(TFile * this\, TFile * param_1)","15"
"TFile","10007170","undefined TFile(TFile * this\, TFile * param_1)","21"
