"Name","Location","FunctionSignature","FunctionSize"
"THandler_ctor","10002000","undefined * * THandler_ctor(void * this\, TViewport * param_1)","67"
"OnBeginRender","10002050","undefined4 OnBeginRender(int param_1\, TViewport * param_2)","590"
"DeNormalizeValue","100022c0","float DeNormalizeValue(TRenderD3DInterface * this\, float param_1)","17"
"NormalizeValue","100022e0","float NormalizeValue(TRenderD3DInterface * this\, float param_1)","19"
"GetSaturate","10002300","float GetSaturate(TRenderD3DInterface * this)","7"
"GetGamma","10002310","float GetGamma(TRenderD3DInterface * this)","7"
"GetBrightness","10002320","float GetBrightness(TRenderD3DInterface * this)","7"
"GetContrast","10002330","float GetContrast(TRenderD3DInterface * this)","7"
"SetTextureAlphaStage","10002340","void SetTextureAlphaStage(TRenderD3DInterface * this\, uint param_1\, uint param_2\, uint param_3\, uint param_4)","90"
"SetTextureColorStage","100023a0","void SetTextureColorStage(TRenderD3DInterface * this\, uint param_1\, uint param_2\, uint param_3\, uint param_4)","90"
"GetD3DDevice","10002400","IDirect3DDevice8 * GetD3DDevice(TRenderD3DInterface * this)","7"
"GetD3DInterface","10002410","IDirect3D8 * GetD3DInterface(TRenderD3DInterface * this)","7"
"GetMaxTextureHeight","10002420","uint GetMaxTextureHeight(TRenderD3DInterface * this)","20"
"GetMaxTextureWidth","10002440","uint GetMaxTextureWidth(TRenderD3DInterface * this)","20"
"FUN_100024d0","100024d0","undefined4 * FUN_100024d0(undefined4 param_1\, int param_2)","225"
"Create","10002770","bool Create(TModelD3D * this\, char * param_1\, bool param_2)","136"
"Delete","10002800","void Delete(TModelD3D * this)","25"
"Load","10002820","bool Load(TModelD3D * this\, char * param_1)","157"
"Unload","100028d0","void Unload(TModelD3D * this)","218"
"LoadTMDHAL","100029b0","bool LoadTMDHAL(TModelD3D * this\, TFile * param_1)","1242"
"~TModelD3D","10002ec0","void ~TModelD3D(TModelD3D * this)","13"
"TModelD3D","10002ed0","undefined TModelD3D(TModelD3D * this)","22"
"WindowProc","10002f70","LRESULT WindowProc(HWND param_1\, UINT param_2\, uint param_3\, LONG * param_4)","241"
"TMSWindow","100030f0","undefined TMSWindow(TMSWindow * this)","224"
"~TMSWindow","100031d0","void ~TMSWindow(TMSWindow * this)","85"
"Create","10003230","bool Create(TMSWindow * this\, TRenderD3DInterface * param_1\, char * param_2)","119"
"Destroy","100032b0","void Destroy(TMSWindow * this)","51"
"Enable","100032f0","void Enable(TMSWindow * this)","89"
"Disable","10003350","void Disable(TMSWindow * this)","89"
"Position","100033b0","void Position(TMSWindow * this\, int param_1\, int param_2\, int param_3\, int param_4)","105"
"SetWindowed","10003420","void SetWindowed(TMSWindow * this)","82"
"SetFullscreen","10003480","void SetFullscreen(TMSWindow * this)","82"
"operator_struct_HWND__*","10003540","HWND__ * operator_struct_HWND__*(TMSWindow * this)","4"
"GetD3DInterface","10003550","TRenderD3DInterface * GetD3DInterface(TMSWindow * this)","4"
"GetHWND","10003560","HWND__ * GetHWND(TMSWindow * this)","4"
"DeinitialiseStatic","10003570","void DeinitialiseStatic(void)","1"
"InitialiseStatic","10003580","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10003590","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","100035b0","TObject * CreateObject(void)","40"
"GetClass","100035e0","TClass * GetClass(TMSWindow * this)","6"
"TOrderTable","10003620","undefined TOrderTable(TOrderTable * this\, TShader * param_1\, uint param_2\, uint param_3)","474"
"~TOrderTable","10003800","void ~TOrderTable(TOrderTable * this)","527"
"RegisterMaterial","10003a40","TRegMaterial * RegisterMaterial(TOrderTable * this\, TMaterial * param_1)","334"
"DeregisterMaterial","10003ba0","void DeregisterMaterial(TOrderTable * this\, TRegMaterial * param_1)","224"
