"Name","Location","FunctionSignature","FunctionSize"
"Create","10001000","uint Create(int * param_1)","214"
"RenderTriStrip","10001390","void RenderTriStrip(TSpriteShader * this\, undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9)","410"
"FUN_10001530","10001530","undefined FUN_10001530(void * this\, undefined4 * param_1\, undefined4 * param_2\, undefined4 * param_3\, undefined4 * param_4\, undefined4 param_5)","101"
"BeginMeshGeneration","10001730","undefined BeginMeshGeneration(int param_1)","27"
"EndMeshGeneration","10001750","void EndMeshGeneration(TSpriteShader * this)","84"
"TSpriteShader","100017b0","undefined4 * TSpriteShader(TSpriteShader * this)","553"
"FUN_100019e0","100019e0","void FUN_100019e0(TSpriteShader * this)","235"
"FUN_10001ad0","10001ad0","undefined4 FUN_10001ad0(TSpriteShader * this\, int param_1\, int param_2)","138"
"FUN_10001b60","10001b60","undefined FUN_10001b60(int * param_1)","121"
"FUN_10001be0","10001be0","undefined FUN_10001be0(void * this\, undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4\, undefined4 param_5)","272"
"TSpriteMaterial","10001cf0","undefined4 * TSpriteMaterial(TSpriteMaterial * this)","32"
"FUN_10001d10","10001d10","bool FUN_10001d10(TResource * param_1)","67"
"FUN_10001dc0","10001dc0","undefined4 * FUN_10001dc0(undefined4 * param_1)","96"
"FUN_10001f10","10001f10","undefined FUN_10001f10(void * this\, undefined4 param_1)","10"
"FUN_10001f20","10001f20","undefined FUN_10001f20(void * this\, undefined4 param_1)","10"
"FUN_10001f30","10001f30","undefined4 FUN_10001f30(int param_1)","4"
"FUN_10001f40","10001f40","undefined4 FUN_10001f40(int param_1)","4"
"FUN_10001f70","10001f70","undefined FUN_10001f70(undefined4 * param_1)","13"
"FUN_10001ff0","10001ff0","undefined FUN_10001ff0(undefined4 * param_1)","13"
"GetMesh","10002050","undefined4 GetMesh(TSpriteShader * this)","10"
"FUN_100020c0","100020c0","undefined FUN_100020c0(void * this\, undefined4 param_1)","10"
"FUN_100020d0","100020d0","undefined FUN_100020d0(void * this\, undefined * param_1)","30"
"FUN_100020f0","100020f0","undefined FUN_100020f0(void * this\, int param_1)","15"
"FUN_10002120","10002120","undefined FUN_10002120(TResource * param_1)","7"
"FUN_10002130","10002130","undefined FUN_10002130(undefined4 * param_1)","109"
