"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"TGUIDisplayContext","External[0000937c]","External Function","1","TGUIINTERFACE.DLL::Toshi::TGUIDisplayContext::TGUIDisplayContext","undefined","undefined TGUIDisplayContext(TGUIDisplayContext * this)"
"~TGUIDisplayContext","External[000093a2]","External Function","1","TGUIINTERFACE.DLL::Toshi::TGUIDisplayContext::~TGUIDisplayContext","void","void ~TGUIDisplayContext(TGUIDisplayContext * this)"
"IsCharacterDefined","External[000093c8]","External Function","2","TGUIINTERFACE.DLL::Toshi::TGUIFont::IsCharacterDefined","bool","bool IsCharacterDefined(TGUIFont * this\, ushort param_1)"
"GetGlyph","External[000093f8]","External Function","2","TGUIINTERFACE.DLL::Toshi::TGUIFont::GetGlyph","TGUIFontGlyph *","TGUIFontGlyph * GetGlyph(TGUIFont * this\, ushort param_1)"
"m_sClass","External[0000942e]","External Data","","","TClass","m_sClass"
"PushClip","External[00009462]","External Function","5","TGUIINTERFACE.DLL::Toshi::TGUIDisplayContext::PushClip","void","void PushClip(TGUIDisplayContext * this\, int param_1\, int param_2\, int param_3\, int param_4)"
"PopClip","External[00009494]","External Function","1","TGUIINTERFACE.DLL::Toshi::TGUIDisplayContext::PopClip","void","void PopClip(TGUIDisplayContext * this)"
"PushRotation","External[000094c0]","External Function","2","TGUIINTERFACE.DLL::Toshi::TGUIDisplayContext::PushRotation","void","void PushRotation(TGUIDisplayContext * this\, float param_1)"
"DrawFormattedText","External[000094f2]","External Function","6","TGUIINTERFACE.DLL::Toshi::TGUIDisplayContext::DrawFormattedText","void","void DrawFormattedText(TGUIDisplayContext * this\, TGUIFormattedText * param_1\, int param_2\, int param_3\, int param_4\, int param_5)"
"m_sClass","External[00009544]","External Data","","","TClass","m_sClass"
"~TGUIFontFactory","External[00009574]","External Function","1","TGUIINTERFACE.DLL::Toshi::TGUIFontFactory::~TGUIFontFactory","void","void ~TGUIFontFactory(TGUIFontFactory * this)"
"TGUIFontFactory","External[00009598]","External Function","1","TGUIINTERFACE.DLL::Toshi::TGUIFontFactory::TGUIFontFactory","undefined","undefined TGUIFontFactory(TGUIFontFactory * this)"
"Paint","External[000095bc]","External Function","2","TGUIINTERFACE.DLL::Toshi::TGUIScreen::Paint","void","void Paint(TGUIScreen * this\, TGUIWidget * param_1)"
