"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"SetConsoleTitleA","External[000021c4]","External Function","1","KERNEL32.DLL::SetConsoleTitleA","BOOL","BOOL SetConsoleTitleA(LPCSTR lpConsoleTitle)"
"GetConsoleTitleA","External[000021d8]","External Function","2","KERNEL32.DLL::GetConsoleTitleA","DWORD","DWORD GetConsoleTitleA(LPSTR lpConsoleTitle\, DWORD nSize)"
"FindWindowA","External[000021fa]","External Function","2","USER32.DLL::FindWindowA","HWND","HWND FindWindowA(LPCSTR lpClassName\, LPCSTR lpWindowName)"
"UpdateWindow","External[00002208]","External Function","1","USER32.DLL::UpdateWindow","BOOL","BOOL UpdateWindow(HWND hWnd)"
"ShowWindow","External[00002218]","External Function","2","USER32.DLL::ShowWindow","BOOL","BOOL ShowWindow(HWND hWnd\, int nCmdShow)"
"MessageBoxA","External[00002226]","External Function","4","USER32.DLL::MessageBoxA","int","int MessageBoxA(HWND hWnd\, LPCSTR lpText\, LPCSTR lpCaption\, UINT uType)"
"timeGetTime","External[00002240]","External Function","0","WINMM.DLL::timeGetTime","DWORD","DWORD timeGetTime(void)"
"operator+=","External[00002258]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::operator+=","TCString *","TCString * operator+=(TCString * this\, char * param_1)"
"operator_char_const*","External[0000227c]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::operator_char_const*","char *","char * operator_char_const*(TCString * this)"
"~TCString","External[0000229a]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::~TCString","void","void ~TCString(TCString * this)"
"TCString","External[000022b6]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::TCString","undefined","undefined TCString(TCString * this\, char * param_1)"
"tfree","External[000022d6]","External Function","1","TKERNELINTERFACE.DLL::tfree","void","void tfree(void * param_1)"
"TCString","External[000022ea]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::TCString","undefined","undefined TCString(TCString * this)"
"tmalloc","External[00002306]","External Function","3","TKERNELINTERFACE.DLL::tmalloc","void *","void * tmalloc(int param_1\, char * param_2\, int param_3)"
"GetSystemTimer","External[00002320]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TKernelInterface::GetSystemTimer","THPTimer *","THPTimer * GetSystemTimer(TKernelInterface * this)"
"Update","External[0000235e]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TKernelInterface::Update","bool","bool Update(TKernelInterface * this)"
"GetDelta","External[00002388]","External Function","1","TKERNELINTERFACE.DLL::Toshi::THPTimer::GetDelta","float","float GetDelta(THPTimer * this)"
"TKernelInterface","External[000023ac]","External Function","4","TKERNELINTERFACE.DLL::Toshi::TKernelInterface::TKernelInterface","undefined","undefined TKernelInterface(TKernelInterface * this\, int param_1\, char * * param_2\, bool param_3)"
"operator=","External[000023d8]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::operator=","TCString *","TCString * operator=(TCString * this\, char * param_1)"
"GetString","External[000023fc]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::GetString","char *","char * GetString(TCString * this\, int param_1)"
"operator=","External[00002424]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::operator=","TCString *","TCString * operator=(TCString * this\, TCString * param_1)"
"TCString","External[0000244c]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::TCString","undefined","undefined TCString(TCString * this\, TCString * param_1)"
"_ultoa","External[00002484]","External Function","3","MSVCRT.DLL::_ultoa","char *","char * _ultoa(ulong _Val\, char * _Dstbuf\, int _Radix)"
"free","External[0000249a]","External Function","1","MSVCRT.DLL::free","void","void free(void * _Memory)"
"_initterm","External[000024a2]","External Function","0","MSVCRT.DLL::_initterm","undefined","undefined _initterm()"
"malloc","External[000024ae]","External Function","1","MSVCRT.DLL::malloc","void *","void * malloc(size_t _Size)"
"_adjust_fdiv","External[000024b8]","External Data","","","","_adjust_fdiv"
"__dllonexit","External[000024c8]","External Function","0","MSVCRT.DLL::__dllonexit","undefined","undefined __dllonexit()"
