"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"tfree","External[0002f6d8]","External Function","1","TKERNELINTERFACE.DLL::tfree","void","void tfree(void * param_1)"
"~TObject","External[0002f6ec]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::~TObject","void","void ~TObject(TObject * this)"
"TObject","External[0002f708]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::TObject","undefined","undefined TObject(TObject * this)"
"Get","External[0002f724]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TLocale::Get","TLString","TLString Get(TLocale * this\, char * param_1)"
"Delete","External[0002f752]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TLocalisedString::Delete","void","void Delete(TLocalisedString * this)"
"GetLocale","External[0002f77c]","External Function","0","TKERNELINTERFACE.DLL::Toshi::TSystem::GetLocale","TLocale *","TLocale * GetLocale(void)"
"Delete","External[0002f7aa]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TPooledCString::Delete","void","void Delete(TPooledCString * this)"
"~TClass","External[0002f7d2]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::~TClass","void","void ~TClass(TClass * this)"
"m_sClass","External[0002f7ec]","External Data","","","TClass","m_sClass"
"TClass","External[0002f814]","External Function","8","TKERNELINTERFACE.DLL::Toshi::TClass::TClass","undefined","undefined TClass(TClass * this\, char * param_1\, TClass * param_2\, _func_TObject_ptr * param_3\, _func_TObject_ptr_void_ptr * param_4\, _func_void * param_5\, _func_void * param_6\, uint param_7)"
"tmalloc","External[0002f860]","External Function","3","TKERNELINTERFACE.DLL::tmalloc","void *","void * tmalloc(int param_1\, char * param_2\, int param_3)"
"operator=","External[0002f87a]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TWString::operator=","TWString *","TWString * operator=(TWString * this\, TWString * param_1)"
"~TWString","External[0002f8a2]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TWString::~TWString","void","void ~TWString(TWString * this)"
"TWString","External[0002f8be]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TWString::TWString","undefined","undefined TWString(TWString * this\, TWString * param_1)"
"RemoveAll","External[0002f8e0]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TGenericDList::RemoveAll","void","void RemoveAll(TGenericDList * this)"
"Clip","External[0002f90a]","External Function","3","TKERNELINTERFACE.DLL::Toshi::TMath::Clip","void","void Clip(int * param_1\, int param_2\, int param_3)"
"PI","External[0002f92a]","External Data","","","float","PI"
"~TGenericEmitter","External[0002f942]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TGenericEmitter::~TGenericEmitter","void","void ~TGenericEmitter(TGenericEmitter * this)"
"Throw","External[0002f966]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TGenericEmitter::Throw","void","void Throw(TGenericEmitter * this\, void * param_1)"
"TGenericEmitter","External[0002f990]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TGenericEmitter::TGenericEmitter","undefined","undefined TGenericEmitter(TGenericEmitter * this\, void * param_1)"
"Delete","External[0002f9b6]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TFreeList::Delete","void","void Delete(TFreeList * this\, void * param_1)"
"New","External[0002f9dc]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TFreeList::New","void *","void * New(TFreeList * this\, uint param_1)"
"Delete","External[0002f9fe]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::Delete","void","void Delete(TObject * this)"
"ms_sEmpty","External[0002fa1e]","External Data","","","TCString","ms_sEmpty"
"operator+","External[0002fa4c]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::operator+","TCString","TCString operator+(TCString * this\, char * param_1)"
"operator+","External[0002fa70]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::operator+","TCString","TCString operator+(TCString * this\, TCString * param_1)"
"~TCString","External[0002fa98]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::~TCString","void","void ~TCString(TCString * this)"
"TCString","External[0002fab4]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::TCString","undefined","undefined TCString(TCString * this\, char * param_1)"
"Get","External[0002fad4]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCStringPool::Get","TPCString","TPCString Get(TCStringPool * this\, char * param_1)"
"GetCStringPool","External[0002fb08]","External Function","0","TKERNELINTERFACE.DLL::Toshi::TSystem::GetCStringPool","TCStringPool *","TCStringPool * GetCStringPool(void)"
"GetName","External[0002fb40]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::GetName","char *","char * GetName(TClass * this)"
"Find","External[0002fb62]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TClass::Find","TClass *","TClass * Find(char * param_1\, TClass * param_2)"
"IsA","External[0002fb8c]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TClass::IsA","bool","bool IsA(TClass * this\, TClass * param_1)"
"CreateObject","External[0002fbb0]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::CreateObject","TObject *","TObject * CreateObject(TClass * this)"
"GetString","External[0002fbe2]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::GetString","char *","char * GetString(TCString * this\, int param_1)"
"Compare","External[0002fc0a]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TPCString::Compare","int","int Compare(TPCString * this\, TPCString * param_1)"
"ms_sEmpty","External[0002fc34]","External Data","","","TWString","ms_sEmpty"
"Delete","External[0002fc62]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TPooledWString::Delete","void","void Delete(TPooledWString * this)"
"IsEmpty","External[0002fc8a]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::IsEmpty","bool","bool IsEmpty(TCString * this)"
