"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"FindFirstFileA","External[00033454]","External Function","2","KERNEL32.DLL::FindFirstFileA","HANDLE","HANDLE FindFirstFileA(LPCSTR lpFileName\, LPWIN32_FIND_DATAA lpFindFileData)"
"FindNextFileA","External[00033466]","External Function","2","KERNEL32.DLL::FindNextFileA","BOOL","BOOL FindNextFileA(HANDLE hFindFile\, LPWIN32_FIND_DATAA lpFindFileData)"
"SetFilePointer","External[00033476]","External Function","4","KERNEL32.DLL::SetFilePointer","DWORD","DWORD SetFilePointer(HANDLE hFile\, LONG lDistanceToMove\, PLONG lpDistanceToMoveHigh\, DWORD dwMoveMethod)"
"WriteFile","External[00033488]","External Function","5","KERNEL32.DLL::WriteFile","BOOL","BOOL WriteFile(HANDLE hFile\, LPCVOID lpBuffer\, DWORD nNumberOfBytesToWrite\, LPDWORD lpNumberOfBytesWritten\, LPOVERLAPPED lpOverlapped)"
"GetLastError","External[00033494]","External Function","0","KERNEL32.DLL::GetLastError","DWORD","DWORD GetLastError(void)"
"GetFileTime","External[000334a4]","External Function","4","KERNEL32.DLL::GetFileTime","BOOL","BOOL GetFileTime(HANDLE hFile\, LPFILETIME lpCreationTime\, LPFILETIME lpLastAccessTime\, LPFILETIME lpLastWriteTime)"
"CreateFileA","External[000334b2]","External Function","7","KERNEL32.DLL::CreateFileA","HANDLE","HANDLE CreateFileA(LPCSTR lpFileName\, DWORD dwDesiredAccess\, DWORD dwShareMode\, LPSECURITY_ATTRIBUTES lpSecurityAttributes\, DWORD dwCreationDisposition\, DWORD dwFlagsAndAttributes\, HANDLE hTemplateFile)"
"CloseHandle","External[000334c0]","External Function","1","KERNEL32.DLL::CloseHandle","BOOL","BOOL CloseHandle(HANDLE hObject)"
"ReadFile","External[000334ce]","External Function","5","KERNEL32.DLL::ReadFile","BOOL","BOOL ReadFile(HANDLE hFile\, LPVOID lpBuffer\, DWORD nNumberOfBytesToRead\, LPDWORD lpNumberOfBytesRead\, LPOVERLAPPED lpOverlapped)"
"CreateDirectoryA","External[000334da]","External Function","2","KERNEL32.DLL::CreateDirectoryA","BOOL","BOOL CreateDirectoryA(LPCSTR lpPathName\, LPSECURITY_ATTRIBUTES lpSecurityAttributes)"
"DeleteFileA","External[000334ee]","External Function","1","KERNEL32.DLL::DeleteFileA","BOOL","BOOL DeleteFileA(LPCSTR lpFileName)"
"CreateSemaphoreA","External[000334fc]","External Function","4","KERNEL32.DLL::CreateSemaphoreA","HANDLE","HANDLE CreateSemaphoreA(LPSECURITY_ATTRIBUTES lpSemaphoreAttributes\, LONG lInitialCount\, LONG lMaximumCount\, LPCSTR lpName)"
"ReleaseSemaphore","External[00033510]","External Function","3","KERNEL32.DLL::ReleaseSemaphore","BOOL","BOOL ReleaseSemaphore(HANDLE hSemaphore\, LONG lReleaseCount\, LPLONG lpPreviousCount)"
"WaitForSingleObject","External[00033524]","External Function","2","KERNEL32.DLL::WaitForSingleObject","DWORD","DWORD WaitForSingleObject(HANDLE hHandle\, DWORD dwMilliseconds)"
"CreateMutexA","External[0003353a]","External Function","3","KERNEL32.DLL::CreateMutexA","HANDLE","HANDLE CreateMutexA(LPSECURITY_ATTRIBUTES lpMutexAttributes\, BOOL bInitialOwner\, LPCSTR lpName)"
"ReleaseMutex","External[0003354a]","External Function","1","KERNEL32.DLL::ReleaseMutex","BOOL","BOOL ReleaseMutex(HANDLE hMutex)"
"InitializeCriticalSection","External[0003355a]","External Function","1","KERNEL32.DLL::InitializeCriticalSection","void","void InitializeCriticalSection(LPCRITICAL_SECTION lpCriticalSection)"
"DeleteCriticalSection","External[00033576]","External Function","1","KERNEL32.DLL::DeleteCriticalSection","void","void DeleteCriticalSection(LPCRITICAL_SECTION lpCriticalSection)"
"LeaveCriticalSection","External[0003358e]","External Function","1","KERNEL32.DLL::LeaveCriticalSection","void","void LeaveCriticalSection(LPCRITICAL_SECTION lpCriticalSection)"
"EnterCriticalSection","External[000335a6]","External Function","1","KERNEL32.DLL::EnterCriticalSection","void","void EnterCriticalSection(LPCRITICAL_SECTION lpCriticalSection)"
"ResumeThread","External[000335be]","External Function","1","KERNEL32.DLL::ResumeThread","DWORD","DWORD ResumeThread(HANDLE hThread)"
"SetThreadPriority","External[000335ce]","External Function","2","KERNEL32.DLL::SetThreadPriority","BOOL","BOOL SetThreadPriority(HANDLE hThread\, int nPriority)"
"TerminateThread","External[000335e2]","External Function","2","KERNEL32.DLL::TerminateThread","BOOL","BOOL TerminateThread(HANDLE hThread\, DWORD dwExitCode)"
"GetCurrentThreadId","External[000335f4]","External Function","0","KERNEL32.DLL::GetCurrentThreadId","DWORD","DWORD GetCurrentThreadId(void)"
"SuspendThread","External[0003360a]","External Function","1","KERNEL32.DLL::SuspendThread","DWORD","DWORD SuspendThread(HANDLE hThread)"
"GetThreadPriority","External[0003361a]","External Function","1","KERNEL32.DLL::GetThreadPriority","int","int GetThreadPriority(HANDLE hThread)"
"GetCurrentThread","External[0003362e]","External Function","0","KERNEL32.DLL::GetCurrentThread","HANDLE","HANDLE GetCurrentThread(void)"
"Sleep","External[00033642]","External Function","1","KERNEL32.DLL::Sleep","void","void Sleep(DWORD dwMilliseconds)"
"LoadLibraryA","External[0003364a]","External Function","1","KERNEL32.DLL::LoadLibraryA","HMODULE","HMODULE LoadLibraryA(LPCSTR lpLibFileName)"
