"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"GetModuleHandleA","External[0007f1d0]","External Function","1","KERNEL32.DLL::GetModuleHandleA","HMODULE","HMODULE GetModuleHandleA(LPCSTR lpModuleName)"
"OutputDebugStringA","External[0007f1e4]","External Function","1","KERNEL32.DLL::OutputDebugStringA","void","void OutputDebugStringA(LPCSTR lpOutputString)"
"GetModuleFileNameA","External[0007f1fa]","External Function","3","KERNEL32.DLL::GetModuleFileNameA","DWORD","DWORD GetModuleFileNameA(HMODULE hModule\, LPSTR lpFilename\, DWORD nSize)"
"FindNextFileA","External[0007f210]","External Function","2","KERNEL32.DLL::FindNextFileA","BOOL","BOOL FindNextFileA(HANDLE hFindFile\, LPWIN32_FIND_DATAA lpFindFileData)"
"FindFirstFileA","External[0007f220]","External Function","2","KERNEL32.DLL::FindFirstFileA","HANDLE","HANDLE FindFirstFileA(LPCSTR lpFileName\, LPWIN32_FIND_DATAA lpFindFileData)"
"FindClose","External[0007f232]","External Function","1","KERNEL32.DLL::FindClose","BOOL","BOOL FindClose(HANDLE hFindFile)"
"SetWindowLongA","External[0007f24c]","External Function","3","USER32.DLL::SetWindowLongA","LONG","LONG SetWindowLongA(HWND hWnd\, int nIndex\, LONG dwNewLong)"
"GetWindowLongA","External[0007f25e]","External Function","2","USER32.DLL::GetWindowLongA","LONG","LONG GetWindowLongA(HWND hWnd\, int nIndex)"
"SetCursor","External[0007f270]","External Function","1","USER32.DLL::SetCursor","HCURSOR","HCURSOR SetCursor(HCURSOR hCursor)"
"EndPaint","External[0007f27c]","External Function","2","USER32.DLL::EndPaint","BOOL","BOOL EndPaint(HWND hWnd\, PAINTSTRUCT * lpPaint)"
"BeginPaint","External[0007f288]","External Function","2","USER32.DLL::BeginPaint","HDC","HDC BeginPaint(HWND hWnd\, LPPAINTSTRUCT lpPaint)"
"DefWindowProcA","External[0007f296]","External Function","4","USER32.DLL::DefWindowProcA","LRESULT","LRESULT DefWindowProcA(HWND hWnd\, UINT Msg\, WPARAM wParam\, LPARAM lParam)"
"RegisterClassExA","External[0007f2a8]","External Function","1","USER32.DLL::RegisterClassExA","ATOM","ATOM RegisterClassExA(WNDCLASSEXA * param_1)"
"UnregisterClassA","External[0007f2bc]","External Function","2","USER32.DLL::UnregisterClassA","BOOL","BOOL UnregisterClassA(LPCSTR lpClassName\, HINSTANCE hInstance)"
"GetDesktopWindow","External[0007f2d0]","External Function","0","USER32.DLL::GetDesktopWindow","HWND","HWND GetDesktopWindow(void)"
"CreateWindowExA","External[0007f2e4]","External Function","12","USER32.DLL::CreateWindowExA","HWND","HWND CreateWindowExA(DWORD dwExStyle\, LPCSTR lpClassName\, LPCSTR lpWindowName\, DWORD dwStyle\, int X\, int Y\, int nWidth\, int nHeight\, HWND hWndParent\, HMENU hMenu\, HINSTANCE hInstance\, LPVOID lpParam)"
"DestroyWindow","External[0007f2f6]","External Function","1","USER32.DLL::DestroyWindow","BOOL","BOOL DestroyWindow(HWND hWnd)"
"EnableWindow","External[0007f306]","External Function","2","USER32.DLL::EnableWindow","BOOL","BOOL EnableWindow(HWND hWnd\, BOOL bEnable)"
"ShowWindow","External[0007f316]","External Function","2","USER32.DLL::ShowWindow","BOOL","BOOL ShowWindow(HWND hWnd\, int nCmdShow)"
"SetWindowPos","External[0007f324]","External Function","7","USER32.DLL::SetWindowPos","BOOL","BOOL SetWindowPos(HWND hWnd\, HWND hWndInsertAfter\, int X\, int Y\, int cx\, int cy\, UINT uFlags)"
"GetWindowRect","External[0007f334]","External Function","2","USER32.DLL::GetWindowRect","BOOL","BOOL GetWindowRect(HWND hWnd\, LPRECT lpRect)"
"GetClientRect","External[0007f344]","External Function","2","USER32.DLL::GetClientRect","BOOL","BOOL GetClientRect(HWND hWnd\, LPRECT lpRect)"
"TranslateAcceleratorA","External[0007f354]","External Function","3","USER32.DLL::TranslateAcceleratorA","int","int TranslateAcceleratorA(HWND hWnd\, HACCEL hAccTable\, LPMSG lpMsg)"
"PeekMessageA","External[0007f36c]","External Function","5","USER32.DLL::PeekMessageA","BOOL","BOOL PeekMessageA(LPMSG lpMsg\, HWND hWnd\, UINT wMsgFilterMin\, UINT wMsgFilterMax\, UINT wRemoveMsg)"
"DispatchMessageA","External[0007f37c]","External Function","1","USER32.DLL::DispatchMessageA","LRESULT","LRESULT DispatchMessageA(MSG * lpMsg)"
"TranslateMessage","External[0007f390]","External Function","1","USER32.DLL::TranslateMessage","BOOL","BOOL TranslateMessage(MSG * lpMsg)"
"CreateAcceleratorTableA","External[0007f3a4]","External Function","2","USER32.DLL::CreateAcceleratorTableA","HACCEL","HACCEL CreateAcceleratorTableA(LPACCEL paccel\, int cAccel)"
"DestroyAcceleratorTable","External[0007f3be]","External Function","1","USER32.DLL::DestroyAcceleratorTable","BOOL","BOOL DestroyAcceleratorTable(HACCEL hAccel)"
"GetStockObject","External[0007f3e4]","External Function","1","GDI32.DLL::GetStockObject","HGDIOBJ","HGDIOBJ GetStockObject(int i)"
"Direct3DCreate8","External[0007f400]","External Function","0","D3D8.DLL::Direct3DCreate8","undefined","undefined Direct3DCreate8()"
"TGenericListener","External[0007f41c]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TGenericListener::TGenericListener","undefined","undefined TGenericListener(TGenericListener * this)"
"~TGenericListener","External[0007f440]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TGenericListener::~TGenericListener","void","void ~TGenericListener(TGenericListener * this)"
"AssertHandler","External[0007f464]","External Function","4","TKERNELINTERFACE.DLL::Toshi::TDebug::AssertHandler","bool","bool AssertHandler(char * param_1\, char * param_2\, int param_3\, bool * param_4)"
"IsValidAddress","External[0007f494]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TDebug::IsValidAddress","bool","bool IsValidAddress(void * param_1)"
"tmalloc","External[0007f4be]","External Function","3","TKERNELINTERFACE.DLL::tmalloc","void *","void * tmalloc(int param_1\, char * param_2\, int param_3)"
"tfree","External[0007f4d8]","External Function","1","TKERNELINTERFACE.DLL::tfree","void","void tfree(void * param_1)"
"IsA","External[0007f4ec]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TObject::IsA","bool","bool IsA(TObject * this\, TClass * param_1)"
"Find","External[0007f516]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TClass::Find","TClass *","TClass * Find(char * param_1\, TClass * param_2)"
