"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"OutputDebugStringA","External[00021480]","External Function","1","KERNEL32.DLL::OutputDebugStringA","void","void OutputDebugStringA(LPCSTR lpOutputString)"
"AssertHandler","External[000214a4]","External Function","4","TKERNELINTERFACE.DLL::Toshi::TDebug::AssertHandler","bool","bool AssertHandler(char * param_1\, char * param_2\, int param_3\, bool * param_4)"
"~TObject","External[000214d4]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::~TObject","void","void ~TObject(TObject * this)"
"MemSet","External[000214f0]","External Function","3","TKERNELINTERFACE.DLL::Toshi::TSystem::MemSet","void *","void * MemSet(void * param_1\, int param_2\, int param_3)"
"IsValidAddress","External[00021516]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TDebug::IsValidAddress","bool","bool IsValidAddress(void * param_1)"
"Identity","External[00021540]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TMatrix44::Identity","void","void Identity(TMatrix44 * this)"
"SetFromQuaternion","External[00021564]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TMatrix44::SetFromQuaternion","TMatrix44 *","TMatrix44 * SetFromQuaternion(TMatrix44 * this\, TQuaternion * param_1)"
"SetTranslate","External[000215a8]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TMatrix44::SetTranslate","void","void SetTranslate(TMatrix44 * this\, TVector3 * param_1)"
"Multiply","External[000215de]","External Function","3","TKERNELINTERFACE.DLL::Toshi::TMatrix44::Multiply","void","void Multiply(TMatrix44 * this\, TMatrix44 * param_1\, TMatrix44 * param_2)"
"Slerp","External[0002160a]","External Function","4","TKERNELINTERFACE.DLL::Toshi::TQuaternion::Slerp","void","void Slerp(TQuaternion * this\, TQuaternion * param_1\, TQuaternion * param_2\, float param_3)"
"Lerp3","External[00021636]","External Function","4","TKERNELINTERFACE.DLL::Toshi::TVector4::Lerp3","void","void Lerp3(TVector4 * this\, TVector4 * param_1\, TVector4 * param_2\, float param_3)"
"Lerp","External[0002165e]","External Function","3","TKERNELINTERFACE.DLL::Toshi::TVector3::Lerp","void","void Lerp(TVector3 * this\, TVector3 * param_1\, float param_2)"
"Lerp","External[00021684]","External Function","4","TKERNELINTERFACE.DLL::Toshi::TVector3::Lerp","void","void Lerp(TVector3 * this\, TVector3 * param_1\, TVector3 * param_2\, float param_3)"
"FloorToInt","External[000216ac]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TMath::FloorToInt","int","int FloorToInt(float param_1)"
"StringLength","External[000216ce]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TSystem::StringLength","int","int StringLength(char * param_1)"
"StringCopy","External[000216f6]","External Function","3","TKERNELINTERFACE.DLL::Toshi::TSystem::StringCopy","char *","char * StringCopy(char * param_1\, char * param_2\, int param_3)"
"tmalloc","External[00021722]","External Function","3","TKERNELINTERFACE.DLL::tmalloc","void *","void * tmalloc(int param_1\, char * param_2\, int param_3)"
"tfree","External[0002173c]","External Function","1","TKERNELINTERFACE.DLL::tfree","void","void tfree(void * param_1)"
"TDebug_Printf","External[00021750]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TDebug_Printf","void","void TDebug_Printf(char * param_1\, ...)"
"Destroy","External[00021772]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TFile::Destroy","void","void Destroy(TFile * param_1)"
"Create","External[00021796]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TFile::Create","TFile *","TFile * Create(TCString * param_1\, uint param_2)"
"~TCString","External[000217c8]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::~TCString","void","void ~TCString(TCString * this)"
"TCString","External[000217e4]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::TCString","undefined","undefined TCString(TCString * this\, char * param_1)"
"StringCompareNoCase","External[00021804]","External Function","3","TKERNELINTERFACE.DLL::Toshi::TSystem::StringCompareNoCase","int","int StringCompareNoCase(char * param_1\, char * param_2\, int param_3)"
"InvertOrthogonal","External[00021836]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TMatrix44::InvertOrthogonal","void","void InvertOrthogonal(TMatrix44 * this)"
"`vftable'","External[00021862]","External Data","","","","`vftable'"
"TObject","External[0002187c]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::TObject","undefined","undefined TObject(TObject * this)"
"Delete","External[00021898]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::Delete","void","void Delete(TObject * this)"
"PI","External[000218b8]","External Data","","","float","PI"
"InvertOrthogonal","External[000218d0]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TMatrix44::InvertOrthogonal","void","void InvertOrthogonal(TMatrix44 * this\, TMatrix44 * param_1)"
"TransformPlaneOrthogonal","External[00021902]","External Function","3","TKERNELINTERFACE.DLL::Toshi::TMatrix44::TransformPlaneOrthogonal","void","void TransformPlaneOrthogonal(TPlane * param_1\, TMatrix44 * param_2\, TPlane * param_3)"
"Invert","External[0002194e]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TMatrix44::Invert","bool","bool Invert(TMatrix44 * this\, TMatrix44 * param_1)"
"DotProduct3","External[00021978]","External Function","3","TKERNELINTERFACE.DLL::Toshi::TVector4::DotProduct3","float10 *","float10 * DotProduct3(float10 * __return_storage_ptr__\, TVector4 * param_1\, TVector4 * param_2)"
"DotProduct","External[000219a4]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TVector3::DotProduct","float","float DotProduct(TVector3 * param_1\, TVector3 * param_2)"
"Abs","External[000219d0]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TVector3::Abs","void","void Abs(TVector3 * this\, TVector3 * param_1)"
"GetName","External[000219f4]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::GetName","char *","char * GetName(TClass * this)"
"Print","External[00021a16]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::Print","TCString *","TCString * Print(TCString * this)"
"Format","External[00021a3c]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::Format","TCString *","TCString * Format(TCString * this\, char * param_1\, ...)"
"TCString","External[00021a66]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::TCString","undefined","undefined TCString(TCString * this)"
"TGenericEmitter","External[00021a82]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TGenericEmitter::TGenericEmitter","undefined","undefined TGenericEmitter(TGenericEmitter * this\, void * param_1)"
"~TGenericEmitter","External[00021aa8]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TGenericEmitter::~TGenericEmitter","void","void ~TGenericEmitter(TGenericEmitter * this)"
"CPrintf","External[00021acc]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TFile::CPrintf","int","int CPrintf(TFile * this\, char * param_1\, ...)"
"GetVersionMinor","External[00021aee]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::GetVersionMinor","ushort","ushort GetVersionMinor(TClass * this)"
"GetVersionMajor","External[00021b16]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::GetVersionMajor","ushort","ushort GetVersionMajor(TClass * this)"
"GetString","External[00021b3e]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::GetString","char *","char * GetString(TCString * this\, int param_1)"
"IsA","External[00021b66]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TClass::IsA","bool","bool IsA(TClass * this\, TClass * param_1)"
"CreateObject","External[00021b8a]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::CreateObject","TObject *","TObject * CreateObject(TClass * this)"
"CreateObjectInPlace","External[00021bbc]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TClass::CreateObjectInPlace","TObject *","TObject * CreateObjectInPlace(TClass * this\, void * param_1)"
"Find","External[00021bf8]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TClass::Find","TClass *","TClass * Find(char * param_1\, TClass * param_2)"
"IsA","External[00021c22]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TObject::IsA","bool","bool IsA(TObject * this\, TClass * param_1)"
"~TClass","External[00021c4c]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::~TClass","void","void ~TClass(TClass * this)"
"m_sClass","External[00021c66]","External Data","","","TClass","m_sClass"
"TClass","External[00021c8e]","External Function","8","TKERNELINTERFACE.DLL::Toshi::TClass::TClass","undefined","undefined TClass(TClass * this\, char * param_1\, TClass * param_2\, FuncDef1 * param_3\, FuncDef2 * param_4\, FuncDef3 * param_5\, FuncDef4 * param_6\, uint param_7)"
