"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"AssertHandler","External[000155a8]","External Function","4","TKERNELINTERFACE.DLL::Toshi::TDebug::AssertHandler","bool","bool AssertHandler(char * param_1\, char * param_2\, int param_3\, bool * param_4)"
"IsEmpty","External[000155d8]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::IsEmpty","bool","bool IsEmpty(TCString * this)"
"operator=","External[000155fc]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::operator=","TCString *","TCString * operator=(TCString * this\, char * param_1)"
"IsValidAddress","External[00015620]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TDebug::IsValidAddress","bool","bool IsValidAddress(void * param_1)"
"TCString","External[0001564a]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::TCString","undefined","undefined TCString(TCString * this)"
"TClass","External[00015666]","External Function","8","TKERNELINTERFACE.DLL::Toshi::TClass::TClass","undefined","undefined TClass(TClass * this\, char * param_1\, TClass * param_2\, _func_TObject_ptr * param_3\, _func_TObject_ptr_void_ptr * param_4\, _func_void * param_5\, _func_void * param_6\, uint param_7)"
"~TClass","External[000156b2]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::~TClass","void","void ~TClass(TClass * this)"
"~TCString","External[000156cc]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TCString::~TCString","void","void ~TCString(TCString * this)"
"Delete","External[000156e8]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::Delete","void","void Delete(TObject * this)"
"`vftable'","External[00015708]","External Data","","","","`vftable'"
"IDENTITY","External[00015722]","External Data","","","TMatrix44","IDENTITY"
"InvertOrthogonal","External[00015746]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TMatrix44::InvertOrthogonal","void","void InvertOrthogonal(TMatrix44 * this)"
"Invert","External[00015772]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TMatrix44::Invert","bool","bool Invert(TMatrix44 * this)"
"Log","External[00015796]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TMath::Log","float","float Log(float param_1)"
"TCString","External[000157b2]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TCString::TCString","undefined","undefined TCString(TCString * this\, TCString * param_1)"
"TOrderTable","External[000157ea]","External Function","4","TRENDERD3DINTERFACE.DLL::Toshi::TOrderTable::TOrderTable","undefined","undefined TOrderTable(TOrderTable * this\, TShader * param_1\, uint param_2\, uint param_3)"
"Render","External[00015818]","External Function","1","TRENDERD3DINTERFACE.DLL::Toshi::TOrderTable::Render","void","void Render(TOrderTable * this)"
"TD3DAssert","External[0001583c]","External Function","2","TRENDERD3DINTERFACE.DLL::Toshi::TRenderD3DInterface::TD3DAssert","void","void TD3DAssert(long param_1\, char * param_2)"
"RegisterMaterial","External[00015870]","External Function","2","TRENDERD3DINTERFACE.DLL::Toshi::TOrderTable::RegisterMaterial","TRegMaterial *","TRegMaterial * RegisterMaterial(TOrderTable * this\, TMaterial * param_1)"
"GetHAL","External[000158be]","External Function","2","TRENDERD3DINTERFACE.DLL::Toshi::TIndexPoolResource::GetHAL","bool","bool GetHAL(TIndexPoolResource * this\, HALBuffer * param_1)"
"GetHAL","External[0001590e]","External Function","2","TRENDERD3DINTERFACE.DLL::Toshi::TVertexPoolResource::GetHAL","bool","bool GetHAL(TVertexPoolResource * this\, HALBuffer * param_1)"
"DeregisterMaterial","External[00015960]","External Function","2","TRENDERD3DINTERFACE.DLL::Toshi::TOrderTable::DeregisterMaterial","void","void DeregisterMaterial(TOrderTable * this\, TRegMaterial * param_1)"
"SetTextureAddressMode","External[000159a2]","External Function","3","TRENDERD3DINTERFACE.DLL::Toshi::TRenderD3DInterface::SetTextureAddressMode","void","void SetTextureAddressMode(TRenderD3DInterface * this\, uint param_1\, uint param_2)"
"SetModelViewMatrix","External[000159e0]","External Function","2","TRENDERD3DINTERFACE.DLL::Toshi::TRenderPacket::SetModelViewMatrix","void","void SetModelViewMatrix(TRenderPacket * this\, TMatrix44 * param_1)"
"AddRenderPacket","External[00015a22]","External Function","2","TRENDERD3DINTERFACE.DLL::Toshi::TRegMaterial::AddRenderPacket","TRenderPacket *","TRenderPacket * AddRenderPacket(TRegMaterial * this\, TMesh * param_1)"
"~TOrderTable","External[00015a6e]","External Function","1","TRENDERD3DINTERFACE.DLL::Toshi::TOrderTable::~TOrderTable","void","void ~TOrderTable(TOrderTable * this)"
"TMaterial","External[00015aa6]","External Function","1","TRENDERINTERFACE.DLL::Toshi::TMaterial::TMaterial","undefined","undefined TMaterial(TMaterial * this)"
"IsValid","External[00015ac4]","External Function","1","TRENDERINTERFACE.DLL::Toshi::TResource::IsValid","bool","bool IsValid(TResource * this)"
