"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"FLOATEPSILON","External[0000f2a8]","External Data","","","float","FLOATEPSILON"
"TDebug_Printf","External[0000f2ca]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TDebug_Printf","void","void TDebug_Printf(char * param_1\, ...)"
"FloorToInt","External[0000f2ec]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TMath::FloorToInt","int","int FloorToInt(float param_1)"
"AssertHandler","External[0000f30e]","External Function","4","TKERNELINTERFACE.DLL::Toshi::TDebug::AssertHandler","bool","bool AssertHandler(char * param_1\, char * param_2\, int param_3\, bool * param_4)"
"TObject","External[0000f33e]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::TObject","undefined","undefined TObject(TObject * this)"
"~TObject","External[0000f35a]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::~TObject","void","void ~TObject(TObject * this)"
"IsValidAddress","External[0000f376]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TDebug::IsValidAddress","bool","bool IsValidAddress(void * param_1)"
"~TClass","External[0000f3a0]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TClass::~TClass","void","void ~TClass(TClass * this)"
"m_sClass","External[0000f3ba]","External Data","","","TClass","m_sClass"
"TClass","External[0000f3e2]","External Function","8","TKERNELINTERFACE.DLL::Toshi::TClass::TClass","undefined","undefined TClass(TClass * this\, char * param_1\, TClass * param_2\, _func_TObject_ptr * param_3\, _func_TObject_ptr_void_ptr * param_4\, _func_void * param_5\, _func_void * param_6\, uint param_7)"
"Delete","External[0000f42e]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TObject::Delete","void","void Delete(TObject * this)"
"MAXFLOAT","External[0000f44e]","External Data","","","float","MAXFLOAT"
"MINFLOAT","External[0000f46c]","External Data","","","float","MINFLOAT"
"DotProduct","External[0000f48a]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TVector2::DotProduct","float","float DotProduct(TVector2 * param_1\, TVector2 * param_2)"
"Normalise","External[0000f4b6]","External Function","1","TKERNELINTERFACE.DLL::Toshi::TVector2::Normalise","void","void Normalise(TVector2 * this)"
"operator-","External[0000f4da]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TVector2::operator-","TVector2","TVector2 operator-(TVector2 * this\, TVector2 * param_1)"
"IsEqual","External[0000f502]","External Function","2","TKERNELINTERFACE.DLL::Toshi::TVector2::IsEqual","bool","bool IsEqual(TVector2 * this\, TVector2 * param_1)"
"Lerp","External[0000f52c]","External Function","4","TKERNELINTERFACE.DLL::Toshi::TVector2::Lerp","void","void Lerp(TVector2 * this\, TVector2 * param_1\, TVector2 * param_2\, float param_3)"
"VEC_ZERO","External[0000f554]","External Data","","","TVector2","VEC_ZERO"
"VEC_ZERO","External[0000f578]","External Data","","","TVector3","VEC_ZERO"
